File_name,Magnitude,Angle,Shape
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.95171046 2.806197   4.4235077  ... 0.21079047 0.17402731 0.12542479],[5.9707975 5.9705777 5.9742937 ... 6.124846  6.116933  6.1157756],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[4.3400243e-07 1.3850151e-06 3.2249657e-06 ... 2.5429182e-02 1.8059498e-02
 1.0031287e-02]",[1.6230931 1.4555914 1.3757437 ... 4.4886327 4.4649415 4.5464425],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[4.7735950e-05 2.7835710e-04 1.5328367e-03 ... 1.0892336e-01 6.0646903e-02
 3.8416043e-02]","[5.6146472e-03 6.1996188e+00 6.1067028e+00 ... 6.0783367e+00 6.0824623e+00
 6.0874615e+00]","(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.00029125 0.00029672 0.00029547 ... 0.03204158 0.02394834 0.0169305 ],[5.4575634  5.4602213  5.4595656  ... 6.256368   6.274156   0.01407549],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.02549612 0.04352428 0.0591828  ... 0.01089713 0.00625227 0.00333556],[6.2401133 6.234976  6.231914  ... 5.8554235 5.8083677 5.7706637],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.00181771 0.0076671  0.0318781  ... 0.00398028 0.00148683 0.001521  ],[5.898973   5.8728523  5.9010897  ... 0.46070975 0.965735   0.73531556],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[6.0972059e-07 3.8956414e-06 1.1122520e-05 ... 6.3714309e-05 7.1758463e-05
 8.0890997e-05]",[5.2114387 1.9716568 1.8396289 ... 1.4410478 1.4097798 1.4112629],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.0199917  0.06684548 0.13217977 ... 0.00771728 0.00531981 0.00377088],[5.8898067 5.9040604 5.9096336 ... 1.8038123 1.8760757 1.807259 ],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.19352217 0.28785974 0.36370113 ... 0.18104026 0.09972716 0.03899066],[6.0427074  6.042122   6.0401835  ... 0.00975192 0.01140694 0.02444802],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.05453626 0.08624872 0.18115985 ... 1.1207494  0.67764854 0.32473272],[6.020614   6.0273557  6.031548   ... 0.02307768 0.03780432 0.06183984],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[1.4974228  2.0409665  2.529185   ... 1.9470199  1.6470407  0.94981575],[6.025386   6.025745   6.0258036  ... 0.09207762 0.09357005 0.10076768],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.06062159 0.05434213 0.05003684 ... 0.02600975 0.02049895 0.01599683],[1.8262826 2.1625211 2.4765136 ... 4.631477  4.55962   4.59723  ],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[3.2764776  3.8506923  4.3933277  ... 0.04285895 0.03243579 0.02204772],"[6.0275140e+00 6.0176563e+00 6.0109448e+00 ... 3.0315714e-02 3.2175868e-03
 6.2385597e+00]","(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[5.9497542e+00 6.7543788e+00 6.9930601e+00 ... 4.8101470e-03 3.6509358e-03
 2.5275594e-03]",[6.025293   6.031891   6.034047   ... 0.23179212 0.24552111 0.23850341],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.42545834 2.2506368  4.6949406  ... 0.04789457 0.0251586  0.01625113],[6.0444202 6.048947  6.048661  ... 6.191805  6.205504  6.224377 ],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[3.2761037  4.139722   4.7842855  ... 0.09037176 0.05513484 0.03187913],[6.004041  6.0042105 6.004397  ... 6.2114673 6.209574  6.22067  ],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[0.13577643 0.13681175 0.14579716 ... 0.07570202 0.08034044 0.07032814],[6.0398426 5.739557  5.5227623 ... 2.8370037 2.836014  2.9437644],"(104000,)"
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,[4.3228474 5.5133038 6.3770604 ... 3.692275  2.9393787 1.9224503],[6.045971   6.0265675  6.0153027  ... 0.03386575 0.04317874 0.06061395],"(104000,)"
