Convolution_result,Length_between_ankles
4276749,0.008558084
16057.372,0.01790077
4265701.5,0.011176086
4120328.5,0.028474754
4126123.8,0.054146332
4224075.5,0.073836822
22398.363,0.076706294
4077444,0.091671004
4002496.2,0.084664859
3911397.5,0.065122178
4266914.5,0.056960267
74154.164,0.046478901
4367839,0.049805054
4450181.5,0.067285856
4362817,0.085765794
4351889.5,0.085884118
52358.65,0.08633613
4331345.5,0.093749899
4079977.2,0.089077854
4002475.2,0.070503387
4345145.5,0.007228461
62140.707,0.016685256
4066782.8,0.013786161
3613500.2,0.046285231
3429177.2,0.054867215
3072617.5,0.055710083
55451.383,0.01458963
2930798.2,0.049066614
2617827,0.031369886
1768983.6,0.062603409
1881384.2,0.013497344
21930.346,0.028599728
1971722.1,0.063096672
1937320.4,0.048617608
1836828.9,0.122083158
1811884.5,0.143862923
60416.88,0.141832292
1513553.1,0.142265905
1210760.4,0.126565396
1261044.9,0.114575298
849510.5,0.082865727
30964.61,0.07714304
810996.75,0.06440744
760529.6,0.039042679
614686.06,0.022326125
516801.62,0.007051503
23512.016,0.009552988
618415.9,0.091738629
727533.56,0.072918367
730261.5,0.111976129
620444.4,0.110170592
32225.646,0.057426211
606335.2,0.080893675
575024.4,0.077761054
598609.8,0.01830188
584875.94,0.063471622
45507.78,0.069741361
620830.25,0.062845427
625266.75,0.106623313
591335.25,0.145002781
655099.75,0.178026702
13160.164,0.176129753
681140.94,0.199899223
621452.5,0.190262175
543593.06,0.147144002
174088.92,0.120816479
154193.31,0.022398713
51767.4,0.014233169
80377.25,0.039346904
92503.87,0.096897127
55827.438,0.114860553
34250.5,0.005643053
48122.56,0.016176602
1009030,0.029062503
48614.633,0.028120914
71954.21,0.032497088
14457.898,0.010251859
16464.852,0.012984934
11321.16,0.01140968
25734.283,0.073392653
19574.74,0.030660259
21225.54,0.010852559
10453.8955,0.013048642
15945.092,0.012097822
11719.505,0.013971697
22990.11,0.01976085
21687.01,0.029496868
13308.419,0.032912971
27129.736,0.038364438
20887.656,0.043867579
48487.555,0.049795344
31238.898,0.037597879
23426.783,0.032616961
35268.527,0.025008206
16031.298,0.021728792
38600.266,0.018883792
45327.91,0.027744292
18912.188,0.031538512
41169.06,0.040849017
21710.95,0.041360176
56304.82,0.049153248
60456.234,0.070221861
20304.438,0.073394002
45849.812,0.116093752
24755.453,0.112226843
48925.63,0.055238246
44275.348,0.023470695
21117.29,0.013424179
